polled_at_utc,states
2026-09-09T20:00:10,VVVOVOOVVVOOOOOOOOOOOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVVOVOOVVOVOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOOOOOOOOOVVOOVVVOVVVOOOOOOOOVOOOOOOOOOOOOVOOOVOOOVOOOOOOOOVOVOVVVOVOVVVVVVVVVOOOVVVVVVVVVVVOOOOOOOOOOOOOOOOOVOOOVOVOOOVOVOOVOOO
2026-09-09T20:00:23,VVVOVOOVVVOOOOOOOOOOOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVVOVOOVVOVOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOOOOOOOOOVVOOVVVOVVVOOOOOOOOVOOOOOOOOOOOOVOOOVOOOVOOOOOOOOVOVOVVVOVOVVVVVVVVVOOOVVVVVVVVVVVOOOOOOOOOOOOOOOOOVOOOVOVOOOVOVOOVOOO
2026-09-09T20:05:25,VVVOVOOVVVOOOOOOOOOOOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOVOOVVOVOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVVOOVVVOVVVOOOOOOOOVOOOOOOOOOOOOVOOOVOOOVOOOOOOOOVOVOVVVOVOVVVVVVVVOOOOVVVVVVVVOVVOOOOOOOOOOOOOOOOOVOOOVOVOOOVOVOOVOOO
2026-09-09T20:10:27,OOVOVOOVVVOOOOOOOOOOOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOVVOOOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOVOOOVVVOVVVOOOOOOOOVOOOOOOOOOOOOVOOOOOOOVOOOOOOVOOOVOVVVOVOVVVVVVVVOOOOVVVVVVVVVVVOOOOOOOOOOOOOOOOOVOOOVOVOVOVOOOOVOOO
2026-09-09T20:15:30,OOVOVOOVVVOOOOOOOOOOOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOVVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOVVVOVVVOOOOOOOOVVOOOOOOOOOOOVOOOOOOOVOOOOOOOOOOVOVVVOVOVVVVVVVVOOOOVVVVVVVVVVVOOOOOOOOOOOOOOOOOVOOOOOVOVOVOOOOVOOO
2026-09-09T20:20:32,VOVOOOOVVVOOOOOOOOOOOOOOVOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOVVOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOOOOOOOOOOOOOVOOOVVVOVVVOOOOOOOOVOOOOOOOOOOOOVOOOOOOOVOOOOOOOOOOVVVVVOOOVVVVVVVVOOOOVVVVVVVVVVVOOOOOOOOOOOOOOOOVVOOOOOVOVOVOOOOVVOO
2026-09-09T20:25:34,VVVOVOOVVVOOOOOOOOOOOOOOVOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOVOOVVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOVVVOVVVOOOOOOOOVOOOOOOOOOOOOVOOOOOOOVOOOOOOOOOOVOVVVOOOVVVVVVVVOOOOVVVVVVVOVVVOOOOOOOOOOOOOOOOVVOOOOOVOVOVOOOOVVOO
2026-09-09T20:30:36,VOVOVOOVVVOOOOOOOOOOOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOVOOVVOOOOOOOVOOOOOOOOOOOOOOOOOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOVVVOVVVVOOOOOOOVOOOOOOOOOOVOVOOOVOOOVOOOOOOOOOOVOVVVOOOVVVVVVVVOVOOVVVVVVOOVVVVOOOOOOOOOOOOOOOOVOOOOOVOVOVOOOOOVOO
2026-09-09T20:35:37,VOVOVOOVVVOOOOOOOOOOOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOVOOVOOVVOOOOOOVVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVVOOVVVOVVVOOOOOOOOVOOOOOOVOOOVOVOOOVOVOVOOOOOOOOOOVOVVVOOOVVVVVVVVOVOOVVVVVVOOVVVVOOOOOOOOOOOOOOOOVOOOOOVOVOVOOOOOVVO
2026-09-09T20:40:39,VOVOVOOVVVOOOOOOOOOOOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOVOOVOOVVOOVOOOVVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOOOOOOOOOOOOOVVOOVVVOVVVOOOOOOVOVOOOOOOOOOOVOVOOOVOOOVOOOOOOOOOOVOVVVOOOVVVVVVVVOVOOVVVVVVOOVVVVOOOVOOOOOOOOOOOOVOOOOOOOVOVOOOOOVVO
