polled_at_utc,states
2026-09-11T17:15:27,OVVOVVVVOVVOOOOOVVOOOOOOvVVVOOVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T18:51:47,VVVVVOVVVOOOOOOOOOOOOOOOvOOOOVVOOOOOOOOOOVOOOOOOOOOOOOO
2026-09-11T18:55:11,VVVVVOVVVOOOOOOOOOOOOOOOvOOOOVVOOOOOOOOOOVOOOOOOOOOOOOO
2026-09-11T19:00:16,VOVVVOVVVOOOOOOOOOOOOOVOvOOOOVVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T19:05:10,VVVVVOVVVOOOOOOOOOOOOOVOvVOOOVVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T19:10:13,VVVVVOVVVOOVOOOOOOOOOOVOvVOOOVVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T19:15:15,VVVVVOVVVOOVOOOOOOOOOOVOvVOOOVVOOOOOOOOOVOOOOOOOOOOOOOO
2026-09-11T19:20:48,VVVVOOVVVOOVOOOOOOOOOOVOvVOOOVVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T19:25:14,VOVVOOOVVOOVOOOOOOOOOOVOvVOOOVVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T19:30:15,VOVVOOOVVOOVOOOOOOOOOOVOvVOOOVVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T19:35:14,VOVVOOOVVOOVOOOOOOOOOOVOvVOOOVVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T19:40:13,VOVVOOOVVOOVOOOOOOOOOOVOvVOOOVVOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T19:45:13,VOVVOOOVVVOOOOOOOOOOOOVOvVOOOVOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T19:50:12,VOVVOOVVVVOOOOOOOVOOVOOOvVOOOVOOOOOOOOOOOOOOOOOOOOOOOOO
2026-09-11T19:55:11,VOVVOOVVVVOOOOOOOVOOOOOOvVOOOVOOOOOOOOOOOOOOOOOOOOVOOOO
2026-09-11T20:00:16,VOVVOOVVVVOOOOOOOVOOOOOOvVOOOVOOOOOOOOOOOOOOOOOOOOVOOOO
2026-09-11T20:05:11,VOVVOOVVVVOOOOOOOVOOOOOOvVOOOVOOOOOOOOVOOOOOOOOOOOVOOOO
2026-09-11T20:10:13,VVVVVOVVVVOOOOOOOVOOOOOOvVOOOVOOVOOOOOVOOOOOOOOOOOVOOOV
2026-09-11T20:15:12,OVVVVOVVVOOOOOOOOOOOOOOOvVOOOVOOVOOOOOVOOVOOOOOOVOVOOOO
2026-09-11T20:20:13,VVVVVOVVOOOOOOOOOOOOOOOOvVOOOVOOVOOOOOVOOVOOOOOOOOVVOOO
2026-09-11T20:25:11,VVVVVOOVOOOOOOOOOOOOOOOOvVOOOOOOVOOOOOVOOVOOOOOOOOVVOOO
2026-09-11T20:30:15,VVVVOOOVOVOOOOOOOOOOOOOOvVOOOOOOVOOOOOVOOVOOOOOOOOVVVOO
2026-09-11T20:35:10,VVVVVOOVOOOOOOOOOOOOOOOOvVOOOOOOOOOOOOVOOVOOOOOOOOVVVOO
2026-09-11T20:40:13,VVVVVOVVVOOOOOOOOOOOOOOOvVOOOOOOOOOOOOOOOOOOOOOOOOVVVOO
2026-09-11T20:45:11,VVOVVOVVOOOOOOOOVOOOOOOOvVVOOOOOOOOOOOOOOOOOOOOOOOVVOOO
2026-09-11T20:50:12,VVOVVOVVOOOOOOOOVOOOOOOOvVVOOOOOOOOOOOOOOOOOOOOOOVOVOOO
2026-09-11T20:55:11,VVOVVOVVOOOOOOOOVOOOOOOOvOOOOVOOOOOOOOOOOOOOOOOOVOOVOOO
