polled_at_utc,states
2026-09-15T15:00:18,VVVVVOOVOVVOOOOVOVVVoVVVvVVVoVVVOVOOOVVOOOOOOOOVOOOOOOO
2026-09-15T15:05:13,VVVVVOOVOVVOOOOVOVVVoVVVvVVVoVVVOOOOOVVOOOOOOOOOOOOOOOO
2026-09-15T15:10:14,VVVVVOOVOVVOOOOVOVVVoVVVvVVVoVVVOOOOVVVOOOOOOOOOOOOOOOO
2026-09-15T15:15:14,OOVVVOOVOVVOOOOVOVOVoVVVvVVVoVVVOOOOOVVOOOOOOOOOOOOOOOO
2026-09-15T15:20:42,VVVVVOOVOVVOOOOVOVOVoVVVvVVVoVVVOOOOOVVOOOOOOOOVOOOOOOO
2026-09-15T15:25:12,VVVVVOOVOVVOOOOVOVOOoVVVvVVVoVVVOOOOOVVOOOOOOOOVOOOOOOO
2026-09-15T15:30:17,VVVVOOVOOVVOOOOVOVOOoVVVvVVVoVVVOOOOOVVOOOOOOOOVOOOOOOO
2026-09-15T15:35:12,OVVVVOOOOOOOOOOVOVOOoVVVvVVVoVVVOOOOOVVOOOOOOOOVOOOOOOO
2026-09-15T15:40:14,OVVVVOOOVVOOOOOVOVOOoOVVvVVVoVVVOOOOOVVOOOOOOOOVOOOOOOO
2026-09-15T15:45:12,OVVVVOOOVVOOOOOVOVOOoOVVvVVVoVOVOOOOOVVOOOOOOOOVOOOOOOO
2026-09-15T15:50:12,OVVVVOOOVVOOOOOVOVOOoOVVvVVVoVOVOOOOOVOOOOOOOOOVOOOOOOO
2026-09-15T15:55:11,OVVVVOOOVVOOOOOOOVOOoOOVvVVVoVOVOOOOOVOOOOOOOOOVOOOOOOO
2026-09-15T16:00:19,OVVVVOOOVVOOOOOOOVOOoOOVvVVVoOOVOOOOOVOOOOOOOOOVOOOOOOO
2026-09-15T16:05:10,OVVVVOOOVVOOOOOOOVOOoOOVvVVVoOOVOOOOOVOOOOOOOOOVOOOOOOO
2026-09-15T16:10:15,OOVVVOOOVVOOOOOOOVOOoOOVvVVVoOOVOOOOOVOOOOOOOOOVOOOOOOO
2026-09-15T16:15:12,OVVVVOOOOVOOOOOOOVOOoOOVvVVVoOOVOOOOOVOOOOOOOOOVOOOOOOO
2026-09-15T16:20:12,OVVVVOOOOVOOOOOOOVOOoOOVvVVVoOOVOOOOOVOOOOOOOOOVOOOOOOO
2026-09-15T16:25:12,OVVVVOOOOVOOOVOOOVOOoOOOvVVVoOOVOOOOOVOOOOOOOOOVOOOOOOO
2026-09-15T16:30:15,OVVOVOOOOVOOOOOOOVOOoOOOvVVVoOOVOOOOOVOOOOOOOOOVOOOOOOO
2026-09-15T16:35:23,OVVOVOOOOOOOOOOOOVOOoOOOvVVOoOOOOOOOOVOOOOOOOOOOOOOOOOO
