polled_at_utc,states
2026-09-25T15:00:21,VVOVVOVVvOVVOVOOOVVVoVVV?VVVOVVVVVVVVVOOOOOOOOOOVVVVVOVOVVOOVOVVVVoVVOOOVVOOOOOOVOoOO??OOOOOOO?OOOVOOV?OOOOOOOOOOVOVOoOOOOOOOOOoOOOVVVVVVVVVOVVVVVOVVOOOOO?OOOOOOVoOOOOOOOOOOOOVOOOO?OOVVVVVOVOVVVVVVVoOOVVOVOOVVVVVVOO?VOOVOOVVOVVVVOVVOOOOOOOOVOVOOOOO
2026-09-25T15:05:10,OVOVVOVVvVVVOVOOOVVVoVVV?VVVOVVVVVVVVOOOOOOOVOOOVVVVVOVOOVOOVOVVVVoVVOVOVVOOOOOOVOoOO??OOOOVOO?OOOVOOO?OOOOOOOOOOVOOOoOOOOOOOOOoOOOVVVVVVVVVOVVVVVOVVOOOOO?OOOOOOOoOOOOOOOOOOVOVOOOV?OOVVVVVOVOVVVVVVVoVOVVOVOVVVVVVVOO?VOOVOOVVVVVVVOVVOOOOOOOOVOOOOOOO
2026-09-25T15:10:15,OVOVVVVVvVVVOVOOOOOVoVVV?VVVOVVVVVVVVOOOOOOOVOOOVVVVVOVOOVOOVOVVVVoVVOVOOVOOOOOOVOoOO??OOOOVOO?OOOVOOO?OOOOOOVOOOVOOOoOOOOOOOOOoOOOVVOVVVVVVOVVVVVOVVOOOVO?OOOOVOOoOOOOOOOOOOOOOOOOV?OOVVVVVOVOVOVVVVVoVVVVOVOVVOVVVVOO?VOOVOOVVVVVVVOVVOOVOOOOOVOOOOOOO
2026-09-25T15:15:14,OOOVVVVVvVVVOVOOOOOVoVVV?VVVOVVVVVVVVOOOOOOOVOOOVVVVVOVOOVOOVOVVVOoVOOVOOVOOOOOOVOoOO??OOOOVOO?OOOVOOO?OOOOOOOOOOVOOOoOOOOOOOOOoOOOVVOVVVVVVOVVVVVOVVOOOOO?OVOOOOOoOOOOOVOOVOOOOOVOV?OOVVVVVOVOVOVVVVVoVVVVOVOVVOVVVVOO?VOOVOOVVVVVVVOVVOOVOOOOOVOOOOOOO
2026-09-25T15:20:16,OOOVVVVVvVVVOVOOOOOVoVVV?VVVOVVVVVVVVOOOOOOOOOOOVVVVVOVOOVVOVOVVVOoVOOVOOVOOOOOOVOoOO??OOOOOOO?OOOVOOO?OOOOOOOOOOVOOOoOOOOOOOOOoOOOVOOVVVVVVOVVVVVOVVOOVVO?OVOOOOOoVOOOOOOOVOOOOOOOV?OOVVVVVOVOVOVVVVVoVVVVOVOVVOVVVVOO?VOOVOOVVVVVVVOVVOOVOOOOOVOOOOOOO
2026-09-25T15:25:11,OOOVVVVVvOVVOVOOOOOVoVVV?VVVOVVVVVVVVOOOOOOOOOOOVVVVVOVOOVVOVOVVVOoVVOVOVVOOOOOOVOoOO??OOOOVOO?OOOVOOO?OOOOOOOOOOVOOOoOOOOOOOOOoOOOOOOVVVVVVOVVVVVOVVOOOVV?OVOOOOOoVOOOOOOOVOOOOOOOV?OOVVVVVOVOOOVVVVVoVVVVOVOVVOVVVVOO?VOOVOOVOVVVVVOVVOOVOOOOOVOOOOOOO
2026-09-25T15:30:17,OOOVVVVVvVVVOVOOOOOVoVVV?VVVOVVVVVVVVOOOOOOOOOOOVVVVVOVOVVVOOOVVVOoVVOVOVVOOOOOOVOoOO??OOOOVOO?OOOVOOO?OOOOOOOVOOVOOOoOOOOOOOOOoOOOVOOVVVVVVOVVVVVOVVOOOOV?OOOOOOOoVOOVOOOOVOOOOOOOV?VOVVVVVOVOOOVVVVVoVVVVOVOVVOVVVVOO?VOOVOOVOVVVVVOVVOOVOOOOOVOOOOOOO
2026-09-25T15:35:12,OOOVVVVVvVVVOVOOOOOVoVVV?VVVOVVVVVVVOOOOOOOOOOOOOVVVVOVOVVVOOOVVVOoVVOVOVVOOOOOOVOoOO??OOOOVOO?OOOVOOO?OOOOOOOOOOVOOOoOOOOOOOOOoOOOVVVVVVVVVOVVVVOOVOOOOOV?OOOOOOOoVOOVOOOOOOOVOOOOV?VOVVVVVOVOVOVVVVVoVOVVOVOVVOVVOVOO?VVOOOOVOVVVVVOVVOOVOOOOOVOOOOOOO
2026-09-25T15:40:13,OOOVVVVVvVVVOVOOOOOVoVVV?VVVOVVVVVVVVOOOOOOOOOOOOVVVVOVOVVVOOOVVVOoVVOVOVVOOOOOOVOoOO??OOOOVOO?OOOVOOO?OOOOOOOOOOVOOOoOOOOOOOOOoOOOOOVVVVVVVOVVVVOOVOOOOOV?OOOOOOOoOOOVOOOOVOOVOOOOV?OOVVVVVOVOVOVVVVVoVOVVOVOVVOVVOVOO?VVVOOVVOVVVVVOVVOOVOOOOOVOOOOOOO
2026-09-25T15:45:15,OOOVOVVVvVVVOOOOOOOVoVVV?VVVOVVVVVVVOOOOOOOOOOOOOVVVVOVOVVVOOOVVVOoVVOVOVVOOOOOOOOoOO??OOOOVOO?OOOVOOO?OOOOOOOOOOVOOOoOOOOOOOOOoOOOOVVVVVVVVOVVVVOOVOOOVOO?OVOOVOOoOOOVOOOVVOOVOOOOV?OOVVVVVOVOVOVVVVVoVVVVOVOVVOVVOVOO?OVVOOVVOVVVVVOVVOOVOOOOOVOVOOOOO
