polled_at_utc,states
2026-09-22T16:00:22,OVVVVVOVvOVVOOOVOVOOoVVV?VVVOOOOOVOVOOOOOOOOOOOOOOOVOOOOVOOVVOVVVVVOOOOOOVOOOOVVOOO?Vo?OOOOVOO?OVOOVOo?VOOOOoOOOOOOOOoOOOOOOOOOOoOOVVVOVVOVOOOVVVOVVVOOVVV?VOOVVVOoOVOOOVOOOOOoVoOOO?OOOVVVVOVVVVVVVVOVVVVVVVVVVVVVVVOO?OOOOOVOOOVOOOOVOOOOOVVOOOVVOVOOO
2026-09-22T16:05:15,OVVVVVOVvOVVOOOVOVOOoVVV?VVVOOOOOVOOOOOOOOOOOOOOOOOVOOOOVOOOVOVVVVVOOOOOOVOOOOVOOOO?Vo?OOOOVOO?OVOOVOo?VOOOOoOOOOOOOOoOOOOOOOOOOoOOOVOOVVOVOOOVVVOVVVOOVVV?VVVVVVOoVVOOVVOOOOOoOoOOO?OOOVVVVOVVVVVVVVOVVVVVVVVVVVVVVVOO?OOOOOVOOOOOOOOVOOOOOVVOVOVVOVOOO
2026-09-22T16:10:15,OVVOVVOVvOVVOOOVOVOOoVOV?VVVOOOOOVOOOOOOOOOOOOOOOOOVOOOOVOOOVOVVVVVOOOOOOVOOOOVOOOO?Vo?OOOOVOO?OVOOVOo?VOOOOoOOOOOOOOoOOOOOOOOOOoOOOVVOVVOVOOOVVVOVVVOOVVV?VVOVVOOoVOOOVVVOOOOoOoOOO?OOOVVVVOVVVVVVVVVVVVVVVVVVVVVVVVOO?OOOOOVOOOOOOOOVOOOOOVVVVOVOOVOOO
2026-09-22T16:15:17,OOVOVVOVvOOOOOOVOVOOoVOO?VVVOOOOOVOOOOOOOOOOOOOOOOOVOOOOVOOOVOVVVVVOOOOOOVVOOOVOOOO?Vo?OOOOVOO?OVOOVOo?VOOOOoOOOOOOOOoOOOOVOOOOOoOOOVOOVVOVOOOVVVOVVVOOVVV?VVOVVOOoVOOOVOOOOOOoOoOOO?OVOVVVVOVVVVVVVVVVVVVVVVVVVVVVVVOO?OOOOOOOOOOOOOOVOOOOOVVOVOVOOVOOO
2026-09-22T16:20:14,OOVVVVOVvOOOOOOVOVOOoOOO?VVVOOOOOVOOOOOOOOOOOOOOOOOVOOOOOOOOVOVVVVVOOOOOOVVOOOVOOOO?Vo?OOOOVOO?OVOOOOo?VOOOOoOVOOOOOOoOOOOVOOOOOoOOOVOOVVOVOOOVVVOVVVOOVVV?VVOVVVOoVOOVVOOOOOOoOoOOO?OVOVVVVOVVVVVVVVVVVVVVVVVVVVVVVVOO?OOOOOOOOOOOOOOVOOOOOVVOOOVOVVOOO
2026-09-22T16:25:15,OVVVVVOVvOOOOOOVOVOOoOOO?VVVOOOOOVOOOOOOOOOOOOOOOOOVOOOOOOOOVOVVVVVOOOOOOVVOOOVOOOO?Vo?OOOOVOO?OVOOOOo?OOVOOoOVOOOOOOoOOOOVOOOOOoOOOVOOVVOVOOOVVVOVVVOOVVV?OVOVVVOoVOOOVOOVOVOoOoOOO?OVOVVVVOVVVVVVVVVVVVVVVVVVVVVVVVVO?OOOOOOOOOOOOOVVOOOOOVVOOVVOOVOOO
2026-09-22T16:30:17,OVVVVVOVvOOOOOOVOOOOoOOO?VVVOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOVOVVVVVOOOOOOVVOOOVOOOO?Vo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOVOOOOOoOOVOOOVVOVOOOVVVOVVVOOVVV?OVOVVVVoVOVOVOOOOVOoOoOOO?OOOVVVVOVVVVVVVVVVVOVVVVVVVVVVVVVO?OOOOOOOOOOOOOVVOOOOOVVOOVVOOVOOO
2026-09-22T16:35:11,OVVVVVOVvOVOOOOVOOOOoOOO?VVOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOVOVVVVVOOOOOOVVOOOVOOOO?Vo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOOOOOOOoOOVVOOVVOVOOOVVVOVVVOOVVV?OVOVVVVoVOVOVOOOOVOoOoOVO?OOOVVVVOVVVVVVVVVVVOVVvVVVVVVVVVVO?OOOOOOOOOOOOOVVOOOOOVVOOVVVOVOOO
2026-09-22T16:40:18,VVVVVVOVvOVOOOOVOOOOoOOO?OVOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOVOVVVVVOOOOOOVVOOOVOOOO?Vo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOVOOOOOoOOOOOOVVOVOOOVVVOVVVOOVVV?OVVVVVVoVOVOVOOOOVOoOoOVO?OVOVVVVOVVVVVVVVVVVOVVvVVVVVVVVVVO?OOOOOOOOOOOOOVVOOOOOVVOOVVVOVOOO
2026-09-22T16:45:12,VVVVVVOVvOVOOOOVOOOOoOOO?OVOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOVOVVVVVOOOOOOVVOOOOOOOO?Vo?OOOOVOO?OVOOOOo?OOVOOoOOOOOOOOoOOOOVOOOOOoOOOOOOVVOVOOOVVOOOVVOOVVV?OVOVVVVoVOVOVVOOOOOoOoOOO?OOOVVVVOVVVVVVVVVVVOVVvVVVOVVVVVVV?OOOOOOOOOOOOOVVOOOOOVVOOOOVOVOOO
