polled_at_utc,states
2026-09-09T20:00:12,OOOOOOVVOVOOVVOVOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOVVVOOOOOOOOVOOVOOOOOOOOOOOOOOOOOVOVVVVOOOOOVVVOVVVOOOOOOOOOOOVOOOOOOOOOOOOVOOOOOOOOOOOOVOOOVOOOVOOOOOOOOVOVOVVVOVOVVVVVVVVVOOOVVVVVVVVVVVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOOOOVOVOOOVOVOOVOOO
2026-09-09T20:00:34,OOOOOOVVOVOOVVOVOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOVVVOOOOOOOOVOOVOOOOOOOOOOOOOOOOOVOVVVVOOOOOVVVOVVVOOOOOOOOOOOVOOOOOOOOOOOOVOOOOOOOOOOOOVOOOVOOOVOOOOOOOOVOVOVVVOVOVVVVVVVVVOOOVVVVVVVVVVVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOOOOVOVOOOVOVOOVOOO
2026-09-09T22:27:37,OOOOOOOOOOOOVVOOOOVOOOOOOOOOOOOOVOOOOOOOOOOOOOOOOVOVVOOOOOOOVOOOOOOOOOOOOOOVOOOOOOOOVVOVOVOOVVVOVVVOOOVOOOOOOOVVOOOOOVOVOVVVOOOVOOOOVOVVOOOOOOVOVOOOOOOOOOOVOVVVVVOVVVVVVVVVVVOVOVVVVVVVVVVOOOOOVOOOVOOOOOOOOOOOOOOOOOOOOOOVOVOOOVOOOOOOOOVOOOOOVVOOVVVO
