polled_at_utc,states
2026-09-09T19:53:22,OOOOOOVOOVOOVVVVOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVVOOOOOOOOVOOVOOOOOOOOOOOOOOOOOVOVVVVOOOOOVVVOVVVOOOOOOOOOOOVOOOOOOOOOOOOVOOOOOOOOOOOOVOOOVOOOVOOOOOOOOOOVOVVVOVOVVVVVVVVVOOOVVVVVVVOVVVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOOOOVOOOOOVOVOOVOOO
2026-09-09T19:53:24,OOOOOOVOOVOOVVVVOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVVOOOOOOOOVOOVOOOOOOOOOOOOOOOOOVOVVVVOOOOOVVVOVVVOOOOOOOOOOOVOOOOOOOOOOOOVOOOOOOOOOOOOVOOOVOOOVOOOOOOOOOOVOVVVOVOVVVVVVVVVOOOVVVVVVVOVVVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOOOOVOOOOOVOVOOVOOO
2026-09-09T19:53:32,OOOOOOVOOVOOVVVVOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVVOOOOOOOOVOOVOOOOOOOOOOOOOOOOOVOVVVVOOOOOVVVOVVVOOOOOOOOOOOVOOOOOOOOOOOOVOOOOOOOOOOOOVOOOVOOOVOOOOOOOOOOVOVVVOVOVVVVVVVVVOOOVVVVVVVOVVVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOOOOVOOOOOVOVOOVOOO
2026-09-09T19:58:49,OOOOOOVVOVOOVVOVOOOOVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVVOOOOOOOOVOOOOOOOOOOOOOOOOOOOOVOVVVVOOOOOVVVOVVVOOOOOOOOOOOVOOOOOOOOOOOOVOOOOOOOOOOOOVOOOVOOOVOOOOOOOOVOVOVVVOVOVVVVVVVVVOOOVVVVVOVOVVVOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVOOOOOOOOOOOVOVOOOVOVOOVOOO
